"FECHA_CORTE","FECHA_EMISION","MES_FACTURACION","COD_EMPRESA","RAZON_SOCIAL","GRUPO","COD_SIS_ELECTR","COD_TARIFA","ATARIFA","USO","SUMINISTROS","PROMEDIO_CONSUMO"
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0005,18,De 301 a 500 kW.h                                                                                                                                     ,Residencial,734,376
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0005,22,"1E-BT No Residencial                                                                                                                                  ",Comercial,2966,413
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0016,17,De 151 a 300 kW.h                                                                                                                                     ,Residencial,1,186
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0005,48,De 751 a 1000 kW.h                                                                                                                                    ,Residencial,1,840
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0016,15,De 31 a 100 kW.h                                                                                                                                      ,Residencial,2,69
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0262,20,De 751 a 1000 kW.h                                                                                                                                    ,Residencial,1,791
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SR0140,19,De 501 a 750 kW.h                                                                                                                                     ,Residencial,18,600
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0011,14,De 1 a 30 kW.h                                                                                                                                        ,Residencial,4,1
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0005,42,De 1 a 30 kW.h                                                                                                                                        ,Residencial,2,145
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0005,21,Exceso de 1000 kW.h                                                                                                                                   ,Residencial,373,1885
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0005,15,De 31 a 100 kW.h                                                                                                                                      ,Residencial,5,81
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0005,21,Exceso de 1000 kW.h                                                                                                                                   ,Residencial,31,1930
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0005,17,De 151 a 300 kW.h                                                                                                                                     ,Residencial,13,227
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0011,16,De 101 a 150 kW.h                                                                                                                                     ,Residencial,82,124
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0013,22,"1E-BT No Residencial                                                                                                                                  ",Comercial,5,9
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0011,15,De 31 a 100 kW.h                                                                                                                                      ,Residencial,87,66
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SR0140,21,Exceso de 1000 kW.h                                                                                                                                   ,Residencial,10,1698
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0011,15,De 31 a 100 kW.h                                                                                                                                      ,Residencial,3,71
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0005,22,"1E-BT No Residencial                                                                                                                                  ",Comercial,2,2977
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0005,15,De 31 a 100 kW.h                                                                                                                                      ,Residencial,1,89
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0261,21,Exceso de 1000 kW.h                                                                                                                                   ,Residencial,27,1879
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0261,19,De 501 a 750 kW.h                                                                                                                                     ,Residencial,121,600
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0221,15,De 31 a 100 kW.h                                                                                                                                      ,Residencial,1905,66
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0261,20,De 751 a 1000 kW.h                                                                                                                                    ,Residencial,2,765
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0005,17,De 151 a 300 kW.h                                                                                                                                     ,Residencial,8,206
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0012,22,"1E-BT No Residencial                                                                                                                                  ",Comercial,113,239
